collection__uuid,artifact__title,artifact__summary,artifact__type,artifact__date_published,artifact__date_published_year,artifact__date_circa,artifact__uri,artifact__people__author,artifact__people__editor,file__url,file__language,file__pages
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Submission to the Thrive by Five Early Childhood Guarantee Bill 2024,,report,2024-06-01,,,https://library.bsl.org.au/showitem.php?handle=1/13473,,,https://library.bsl.org.au/showitem.php?handle=1/13473,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Submission to the Electricity and Energy Sector Plan discussion paper,,report,2024-06-01,,,https://library.bsl.org.au/showitem.php?handle=1/13471,,,https://library.bsl.org.au/showitem.php?handle=1/13471,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Submission to the Climate Change Authority 2024 Issues Paper,,report,2024-06-01,,,https://library.bsl.org.au/showitem.php?handle=1/13470,,,https://library.bsl.org.au/showitem.php?handle=1/13470,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Submission to regulatory impact statement on efficiency standards for rental properties,,report,2024-06-01,,,https://library.bsl.org.au/showitem.php?handle=1/13469,,,https://library.bsl.org.au/showitem.php?handle=1/13469,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Joint submission to Treasury on the Buy Now Pay Later Exposure Draft,,report,2024-06-01,,,https://library.bsl.org.au/showitem.php?handle=1/13468,,,https://library.bsl.org.au/showitem.php?handle=1/13468,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Submission to the NDIS Amendment Bill 2024,,report,2024-05-01,,,https://library.bsl.org.au/showitem.php?handle=1/13465,,,https://library.bsl.org.au/showitem.php?handle=1/13465,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Submission to strategic review of the Apprenticeship Incentive System,,report,2024-05-01,,,https://library.bsl.org.au/showitem.php?handle=1/13463,,,https://library.bsl.org.au/showitem.php?handle=1/13463,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Early childhood education and care: submission to the Productivity Commission in response to the draft report,,report,2024-03-01,,,https://library.bsl.org.au/showitem.php?handle=1/13445,,,https://library.bsl.org.au/showitem.php?handle=1/13445,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,"Submission to consultation on the Australian Government response to the Royal Commission into Violence, Abuse, Neglect and Exploitation of People with Disability",,report,2024-03-01,,,https://library.bsl.org.au/showitem.php?handle=1/13440,,,https://library.bsl.org.au/showitem.php?handle=1/13440,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Submission to consultation for the Disability Employment Centre of Excellence,,report,2024-01-01,,,https://library.bsl.org.au/showitem.php?handle=1/13430,,,https://library.bsl.org.au/showitem.php?handle=1/13430,,
