artifact__title,artifact__title_english,artifact__summary,artifact__identifier,artifact__type,artifact__type_label,artifact__date_published,artifact__date_published_year,artifact__date_circa,artifact__uri,artifact__img,artifact__doi,artifact__publication_place,artifact__publisher,artifact__rights,artifact__rights_holder,artifact__rights_uri,artifact__tags,artifact__copyright,artifact__props__Example_Label,artifact__hidden_props__Example_Label,artifact__related_urls,artifact__isbn_online,artifact__isbn_print,artifact__issn_online,artifact__issn_print,artifact__series,artifact__people,artifact__people__author,artifact__people__editor,artifact__access_type,artifact__access_orgs,artifact__search_props__Example_Label,artifact__country,artifact__high_res_thumbnail,artifact__royalty_to_id,artifact__readable,collection__uuid,file__content_type,file__name,file__media_type,file__uuid,file__url,file__language,file__fulltext_s3_url,file__fulltext_paginated_s3_url,file__toc,file__viewer_settings,file__size,file__pages,file__key_terms,file__file_hash
PIRLS 2021 U.S. Highlights Web Report,,"The Progress in International Reading Literacy Study (PIRLS) is an international comparative study that measures 4th-grade reading performance every 5 years. PIRLS provides valuable information on the reading literacy of students in the United States and how their reading performance compares to that of students in other parts of the world. The study also surveys students’ attitudes toward reading and their reading habits. In addition, students’ principals answer questions about students’ school experiences. The United States has participated in every administration of PIRLS since its inception in 2001. A total of 65 education systems participated in the 2021 PIRLS assessment.",,report,,2023-05-16,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2023054,,,,NCES,,,,Achievement|achievement gap |Achievement (Student)|online reading|reading|Assessment|Fourth-Graders|International Comparisons|online reading literacy|reading literacy|Mathematics/Science Education|Reading|Student Outcomes,,,,,,,,,,,"Martin Hooper (AIR)|Rebecca Shipan (AIR)|Kristin Flanagan (Westat), Jasmine Park (AIR).",,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/surveys/pirls/pirls2021/index.asp,,,,,,,,,
Supporting the California Department of Education in Examining Data to Inform the Setting of Thresholds on the California Alternate English Language Proficiency Assessments for California,,"Staff from the California Department of Education (CDE) will present findings to the State Board of Education (SBE) from a project CDE conducted with analytic technical assistance from the Regional Educational Laboratory (REL) West. The SBE meeting will take place on May 18 and 19, 2023 at the California State Board of Education, 1430 N Street, Room 1101, Sacramento, California. This item is currently placed as the third item the SBE will take up, making it likely to be presented around midday on May 18.",,brief,,2023-05-18,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=REL2023002,,,,REL,,,,English Language Learners (ELL)|English Language Proficiency|States|California,,,,,,,,,,,REL West,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/rel/regions/west/pdf/SupportingCDEThresholdsMemo.pdf,,,,,,,,,
Possible Ways of Increasing College Access Among Adults from Underserved Backgrounds: A Study of College Transition Text-Based Messaging,,"For adults with low incomes and potential first-generation college-goers, enrolling in college can be challenging. The U.S. Department of Education-funded Educational Opportunity Centers (EOCs) provide supports to help navigate some of the barriers to enrollment, including assistance with completing college and financial aid application processes, academic advising, and personal counseling. This study tested a text messaging program provided as a supplement to EOCs' typical services. The program included a set of personalized, automated text messages focused on how to secure financial aid, complete key college enrollment steps, and navigate other potential barriers to college entry. Clients from 18 EOCs were randomly assigned to receive the text messages in addition to typical EOC services or to receive typical EOC services only. The study compared the Free Application for Federal Student Aid (FAFSA) completion and college enrollment rates of these two groups to determine the effectiveness of the messaging program.",,report,,2023-05-04,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=NCEE2023003,,,,NCEE,,,,Access To Education|Students|transition to college|Transition To College,,,,,,,,,,,"Miller, C.|O’Donoghue, R.|Cullinan, D.|Perera, S.|Mayer, A.|Page, L.",,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/pubs/2023003/pdf/2023003r.pdf,,,,,,,,,
Condition of Education 2023,,The Condition of Education 2023 is a congressionally mandated annual report summarizing the latest data from NCES and other sources on education in the United States. This report is designed to help policymakers and the public monitor educational progress.,,report,,2023-05-24,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2023144REV,,,,NCES,,,,,,,,,,,,,,,"Irwin, V.|NCES|Wang, K.|Tezil, T.|Zhang, J.|Filbey, A.|Jung, J.|AIR|Bullock Mann, F.|Dilig, R.|Parker, S.|RTI",,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/programs/coe/,,,,,,,,,
Revenues and Expenditures for Public Elementary and Secondary Education: FY 21 (NCES 2023-301),,"The finance tables introduce new data for national and state-level public elementary and secondary revenues and expenditures for fiscal year (FY) 2021. Specifically, the tables include the following school finance data:",,table-chart-graph,,2023-05-17,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2023301,,,,NCES,,,,Expenditures|elementary and secondary schools|federal government for education|Finance|elementary and secondary schools,,,,,,,,,,,Stephen Q. Cornman|Malia Howell|Jeremy Phillips,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/pubs2023/2023301.pdf,,,,,,,,,
Good Behavior Game Intervention Report,,"This What Works Clearinghouse (WWC) intervention report summarizes the research on the effectiveness of Good Behavior Game and provides detailed information about program implementation and cost. Good Behavior Game is a classroom management strategy that aims to help teachers improve student social skills, minimize disruptive behaviors, and create a positive learning environment. Teachers place students into teams and reward them for demonstrating appropriate behaviors and following classroom rules. Based on 16 studies that meet standards, the WWC found strong evidence that Good Behavior Game positively impacted student behavior and promising evidence that Good Behavior Game positively impacted teacher practice, student writing conventions, and student writing productivity. The WWC found uncertain effects on literacy and math achievement, student intrapersonal competencies, and school climate.",,report,,2023-05-09,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=WWC2023004,,,,WWC,,,,Classroom  |classroom management|Games|Students|social factors,,,,,,,,,,,WWC,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/wwc/Docs/InterventionReports/WWC_GBG_IR-report.pdf,,,,,,,,,
Class-Wide Function-Related Intervention Teams (CW-FIT) Intervention Report,,"This What Works Clearinghouse (WWC) intervention report summarizes the research on the effectiveness of Class-Wide Function-Related Intervention Teams (CW-FIT) and provides detailed information about program implementation and cost. CW-FIT is a classroom management strategy that aims to help teachers improve student behavior and create a positive learning environment. Teachers establish classroom rules, provide instruction on target skills, place students into teams, and then reward teams for demonstrating target skills. Based on eight studies that meet standards, the WWC found strong evidence that CW-FIT positively impacted student behavior and promising evidence that CW-FIT positively impacted teacher practice.",,report,,2023-05-16,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=WWC2023005,,,,WWC,,,,Classroom  |Research Design|Testing,,,,,,,,,,,WWC,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/wwc/Docs/InterventionReports/WWC_CWFIT_IR-report.pdf,,,,,,,,,
2023 Long-Term Trend Reading and Mathematics Assessment: Highlighted Results at Age 13 for the Nation,,"This report presents the results of the National Assessment of Educational Progress (NAEP) long-term trend assessments in reading and mathematics administered during the 2022–23 school year to a nationally representative sample of 13-year-old students. Long-term trend assessments were first administered in the early 1970s; results are available for 14 prior reading assessments dating back to 1971 and 13 prior mathematics assessments dating back to 1973. This highlights report focuses on 2023 results compared to the previous long-term trend assessment in the 2019-20 school year. This report provides trend results in terms of average scale scores and scores for lower-, middle-, and higher-performing students at five selected percentiles. In addition to overall and percentile scores, results are reported by race/ethnicity, gender, type of school, and other demographic groups. In addition, the report provides results from the student survey questionnaire about student absenteeism, reading habits, and mathematics course taking.",,statistical-publication,,2023-06-21,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2023067,,,,NCES,,,,Education Demographics|Eighth-Graders|Elementary Education|Long-term trend|NAEP,,,,,,,,,,,NCES,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://www.nationsreportcard.gov/highlights/ltt/2023/,,,,,,,,,
Conducting Implementation Research in Impact Studies of Education Interventions: A Guide for Researchers,,"Implementation analyses conducted as part of impact studies can help educators know whether a tested intervention is likely to be a good fit for their own settings. This guide can help researchers design and conduct these kinds of analyses. The guide provides steps and recommendations about ways to specify implementation research questions, assess whether and how the planned intervention is implemented, document the context in which the intervention is implemented, and measure the difference between the intervention and what members of the control group receive. It presents strategies for analysis and reporting about these topics, and also for linking implementation and impact findings. The guide offers key definitions, examples, templates, and links to resources.",,toolkit-how-to,,2023-06-27,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=NCEE2023005,,,,NCEE,,,,Educational Research|Implementation Practices|Intervention,,,,,,,,,,,"Hill, C. J.|Scher, L.|Haimson, J.|Granito, K.",,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/pubs/2023005/pdf/2023005.pdf,,,,,,,,,
Reading Recovery® Intervention Report,,"This new What Works Clearinghouse intervention report summarizes the evidence on Reading Recovery®, updating an earlier report from 2013, and provides detailed information about program implementation and cost. Reading Recovery® is a supplemental, one-on-one tutoring program designed to help students in grade 1 who score below grade level in reading. The program aims to improve student reading and writing skills by providing one-on-one tutoring and tailoring lessons to each student. Trained Reading Recovery® teachers deliver the tutoring in daily 30-minute sessions over the course of 12 to 20 weeks. Based on two studies that meet WWC standards, there is moderate evidence that Reading Recovery® positively impacted student achievement in literacy immediately after the intervention. There is also promising evidence that Reading Recovery® positively impacted writing productivity and receptive communication immediately after the intervention and writing conventions 3 years after the intervention. Reading Recovery® had uncertain effects on math achievement 3 years after the intervention and on general academic achievement 10 years after the intervention.",,report,,2023-06-28,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=WWC2023006,,,,WWC,,,,Elementary Education|Literacy|Reading|struggling readers|Tutoring|Writing,,,,,,,,,,,WWC,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/wwc/Docs/InterventionReports/WWC_RR_IR-report.pdf,,,,,,,,,
