artifact__title,artifact__summary,artifact__type,artifact__date_published,artifact__date_published_year,artifact__date_circa,artifact__uri,artifact__publisher,artifact__tags,artifact__people__author,artifact__people__editor,collection__uuid,file__content_type,file__url,file__language
Afghanistan gender country profile 2024,"The current situation in Afghanistan presents globally unprecedented challenges to delivering targeted interventions on gender equality. Since August 2021, the Taliban has undertaken an intensive and systematic dismantling of Afghanistan’s legal and institutional infrastructure, particularly targeting those who had supported the gender equality and women’s empowerment advances achieved under the Islamic Republic of Afghanistan between 2001 and 2021. Significant discrepancies exist between the national and subnational levels, yet data collection on issues relating to gender equality is increasingly difficult, especially following bans on women working for NGOs and the extension of this ban to the United Nations.

The “Afghanistan gender country profile 2024”, produced with the financial support of the European Union, provides a snapshot of the current situation regarding gender equality in Afghanistan, noting the previous legal and institutional frameworks (from the period 1978–2021), and examining the current decrees, policies, and practices shaping the gender equality landscape under Taliban rule.

The document then provides a detailed gender analysis and pertinent statistical data to provide an overview of the prevailing situation in-country across six key priority thematic areas:


	ending gender-based violence;
	sexual and reproductive health and rights;
	economic and social rights and empowerment;
	equal participation and leadership;
	women, peace and security; and
	climate change and digitalization.


Each subsection of this profile outlines conclusions and recommendations, identifying key challenges and opportunities in working towards gender equality in the complex operating environment of present-day Afghanistan.

Funded by the European Union, this gender country profile contributes to the Gender Action Plan in External Action 2021–2027 (GAP III).",report,,2024-06-10,,https://www.unwomen.org/en/digital-library/publications/2024/06/gender-country-profile-afghanistan,United Nations Entity for Gender Equality and the Empowerment of Women (UN Women),Afghanistan|Asia and the Pacific|Child marriage|Education|Ending violence against women and girls|Gender equality and inequality|Gender equality and women’s empowerment|Human rights|Schooling|Women’s rights,,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/sites/default/files/2024-06/Gender-country-profile-Afghanistan-en.pdf,en
On the road to an inclusive and safer world of work: Ratifying ILO C190 and R206,"Preventing and eliminating violence and harassment in the world of work is critical for women’s human rights and a precondition for sustainable development. An inclusive and safe world of work, free from sexual harassment and other forms of gender-based violence (GBV), can result in better health, well-being, retention of workers, and increased productivity and reputational gains for workplaces. It also contributes to achieving gender equality and women’s empowerment.

The Generation Equality Action Coalitions on Gender-Based Violence and Economic Justice and Rights have issued a “Collective commitment on eliminating violence and harassment in the world of work”. The commitment seeks to prevent and eliminate harassment and violence against women in the world of work through global multi-stakeholder action. One of the key priorities of the commitment is advocacy for the ratification and implementation of International Labour Organization Convention 190 (ILO C190) and its accompanying Recommendation 206 (R206).

To advance the commitment, UN Women and ILO convened six regional virtual roadshows to strengthen the capacities of multiple stakeholders (civil society, multilateral organizations, governments, youth-led organizations, private sector, philanthropy) to advocate for the implementation and ratification of ILO C190. More than 1,300 participants representing diverse regions, organizations, and work sectors participated.

This publication provides an overview of the progress to ratification of ILO C190 across six regions, five years after its adoption. It also highlights examples of progress made by governments, trade unions, the private sector, and civil society towards ending GBV in the world of work, shared during the roadshows.",report,,2024-06-21,,https://www.unwomen.org/en/digital-library/publications/2024/06/on-the-road-to-an-inclusive-and-safer-world-of-work,United Nations Entity for Gender Equality and the Empowerment of Women (UN Women),"Access to justice and legal protection|Africa|Anti-violence interventions|Arab States/North Africa|Asia and the Pacific|Campaigns|Economic empowerment|Employment|Ending violence against women and girls|Europe and Central Asia|Generation Equality|Latin America and the Caribbean|Laws, legislation|Partnerships|Sexual harassment",,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/sites/default/files/2024-07/on-the-road-to-an-inclusive-and-safer-world-of-work-en.pdf,en
Addressing Haitian women’s particular needs through their leadership role,"The economic and social development of Haiti continues to be hampered by political instability, increasing violence, unprecedented levels of insecurity, and exacerbated fragility. For the past three years, Haiti has been facing an upsurge in acts of violence of all kinds organized by armed gangs fighting for control of territories, as a way of better positioning themselves during national elections.

Gender-based violence has reached alarming levels, with aggression against women and girls, and more specifically rape, being used in most internally displaced persons (IDP) camps as a deliberate tactic to control access to humanitarian assistance. Children live in an environment that is ill-suited to their needs; they find themselves out of school, malnourished, and exposed to the unhealthy acts and behaviours of poorly educated adults.

In April 2024, UN Women collaborated with the Youth Development Initiative (IDEJEN) and the Network for Gender Equality in Humanitarian Action (REGAH), civil society organization-led committee members, to conduct a rapid gender assessment (RGA) to shed light on the specific challenges and needs of women and girls in the current context, and to propose recommendations on how to best address them. The RGA was conducted in the six most populated and diverse IDP sites of Port-au-Prince in the west department.",report,,2024-07-17,,https://www.unwomen.org/en/digital-library/publications/2024/07/addressing-haitian-womens-particular-needs-through-their-leadership-role,United Nations Entity for Gender Equality and the Empowerment of Women (UN Women),Civil society|Crisis response and recovery|Ending violence against women and girls|Haiti|Health|Humanitarian action|Latin America and the Caribbean|Partnerships|Rape/sexual assault|Sexual and reproductive health and rights,,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/sites/default/files/2024-07/Addressing-Haitian-womens-particular-needs-through-their-leadership-role-en.pdf,en
Addressing Haitian women’s particular needs through their leadership role,"The economic and social development of Haiti continues to be hampered by political instability, increasing violence, unprecedented levels of insecurity, and exacerbated fragility. For the past three years, Haiti has been facing an upsurge in acts of violence of all kinds organized by armed gangs fighting for control of territories, as a way of better positioning themselves during national elections.

Gender-based violence has reached alarming levels, with aggression against women and girls, and more specifically rape, being used in most internally displaced persons (IDP) camps as a deliberate tactic to control access to humanitarian assistance. Children live in an environment that is ill-suited to their needs; they find themselves out of school, malnourished, and exposed to the unhealthy acts and behaviours of poorly educated adults.

In April 2024, UN Women collaborated with the Youth Development Initiative (IDEJEN) and the Network for Gender Equality in Humanitarian Action (REGAH), civil society organization-led committee members, to conduct a rapid gender assessment (RGA) to shed light on the specific challenges and needs of women and girls in the current context, and to propose recommendations on how to best address them. The RGA was conducted in the six most populated and diverse IDP sites of Port-au-Prince in the west department.",report,,2024-07-17,,https://www.unwomen.org/en/digital-library/publications/2024/07/addressing-haitian-womens-particular-needs-through-their-leadership-role,United Nations Entity for Gender Equality and the Empowerment of Women (UN Women),Civil society|Crisis response and recovery|Ending violence against women and girls|Haiti|Health|Humanitarian action|Latin America and the Caribbean|Partnerships|Rape/sexual assault|Sexual and reproductive health and rights,,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/sites/default/files/2024-07/Addressing-Haitian-womens-particular-needs-through-their-leadership-role-es.pdf,es
Gender alert: Voices of strength: Contributions of Palestinian women-led organizations to the humanitarian response in the Occupied Palestinian Territory,"The war on Gaza has become one of the world’s most brutal man-made humanitarian crises. The war has directly impacted more than 2.2 million people, resulting in an unprecedented number of civilians killed, alongside overwhelming displacement. Since 7 October 2023, more than 36,000 Palestinians have been killed by Israeli forces in Gaza, including at least 10,000 women, and an estimated 82,000 people have been injured.

The Israeli incursion into Rafah has led to the displacement of nearly 800,000 people since May 2024, many of whom had already been displaced multiple times since October 2023. In tandem, the situation in the West Bank, including East Jerusalem, has also deteriorated, with more than 500 people killed and 5,000 injured since 7 October. As the death toll increases, severe humanitarian needs continue to grow at an unprecedented rate, in a context where needs were already dire before the current escalation.

The war on Gaza remains, among other things, a war on women. Over the past eight months of the war, UN Women has been documenting how the lives of women and girls have deteriorated across sectors, including food security, water, shelter, health, and safety. This Gender Alert is on the work of Women-Led Organizations (WLOs).",report,,2024-06-10,,https://www.unwomen.org/en/digital-library/publications/2024/06/gender-alert-voices-of-strength-contributions-of-palestinian-women-led-organizations-to-the-humanitarian-response-in-the-occupied-palestinian-territory,United Nations Entity for Gender Equality and the Empowerment of Women (UN Women),"Arab States/North Africa|Crisis response and recovery|Ending violence against women and girls|Humanitarian action|Palestine, State of|Service delivery",,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/sites/default/files/2024-06/gender-alert_palestine-wlos-en.pdf,en
Gender alert: Voices of strength: Contributions of Palestinian women-led organizations to the humanitarian response in the Occupied Palestinian Territory,"The war on Gaza has become one of the world’s most brutal man-made humanitarian crises. The war has directly impacted more than 2.2 million people, resulting in an unprecedented number of civilians killed, alongside overwhelming displacement. Since 7 October 2023, more than 36,000 Palestinians have been killed by Israeli forces in Gaza, including at least 10,000 women, and an estimated 82,000 people have been injured.

The Israeli incursion into Rafah has led to the displacement of nearly 800,000 people since May 2024, many of whom had already been displaced multiple times since October 2023. In tandem, the situation in the West Bank, including East Jerusalem, has also deteriorated, with more than 500 people killed and 5,000 injured since 7 October. As the death toll increases, severe humanitarian needs continue to grow at an unprecedented rate, in a context where needs were already dire before the current escalation.

The war on Gaza remains, among other things, a war on women. Over the past eight months of the war, UN Women has been documenting how the lives of women and girls have deteriorated across sectors, including food security, water, shelter, health, and safety. This Gender Alert is on the work of Women-Led Organizations (WLOs).",report,,2024-06-10,,https://www.unwomen.org/en/digital-library/publications/2024/06/gender-alert-voices-of-strength-contributions-of-palestinian-women-led-organizations-to-the-humanitarian-response-in-the-occupied-palestinian-territory,United Nations Entity for Gender Equality and the Empowerment of Women (UN Women),"Arab States/North Africa|Crisis response and recovery|Ending violence against women and girls|Humanitarian action|Palestine, State of|Service delivery",,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/sites/default/files/2024-06/gender-alert_palestine-wlos-ar.pdf,ar
"Consolidated report: A guide to public investments in the care economy: Estimating care deficits, investment costs and economic returns","This publication was created as part of the UN Women–ILO joint programme, “Promoting decent employment for women through inclusive growth policies and investments in the care economy”. It presents the key findings and lessons learned from applying the UN Women–ILO policy tool, “A guide to public investments in the care economy: Policy support tool for estimating care deficits, investment costs, and economic returns”, in Argentina, Egypt, Ethiopia, Morocco, and Nepal.

The tool provides a methodology to:


	identify coverage gaps in care services (including public healthcare, long-term care, early childhood care and education, and primary and secondary education);
	estimate the costs of public investments and expenditures needed to eliminate these gaps; and
	assess the various social, employment, and fiscal returns of such investments in the short and long term.


The successful application of the tool in five different contexts demonstrates its adaptability and underscores the importance of developing global policy tools and guidance to extend UN Women’s work beyond the geographical boundaries of its implemented programs.",report,,2024-06-12,,https://www.unwomen.org/en/digital-library/publications/2024/06/consolidated-report-a-guide-to-public-investments-in-the-care-economy-estimating-care-deficits-investment-costs-and-economic-returns,United Nations Entity for Gender Equality and the Empowerment of Women (UN Women),Africa|Arab States/North Africa|Argentina|Asia and the Pacific|Economic empowerment|Egypt|Employment|Ethiopia|Latin America and the Caribbean|Macroeconomic policies|Morocco|Nepal|Poverty|Social protection|Unpaid work,,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/sites/default/files/2024-06/consolidated-report-a-guide-to-public-investments-in-the-care-economy-en.pdf,en
UN Women submission on electoral participation and sexual orientation and gender identity: To the UN Independent Expert on protection against violence and discrimination based on sexual orientation and gender identity,"This submission is in response to the request of the Independent Expert on protection against violence and discrimination based on sexual orientation and gender identity (UN IE SOGI) for inputs to the report on electoral participation and sexual orientation and gender identity. This request is timely, coming during what is being billed as a “super election year”, with some 2.6 billion people eligible to vote worldwide.

UN Women is closely examining the opportunities and challenges for lesbian, gay, bisexual, transgender, gender diverse, intersex, and queer (LGBTIQ+) persons’ full equality and inclusion in electoral processes in 2024 and beyond. It intends to amplify the messages of our civil society partners around the world, and the clear call by people of diverse sexual orientations, gender identities, gender expressions, and sex characteristics (SOGIESC) for equality and inclusion in democratic processes, including elections.",report,,2024-06-21,,https://www.unwomen.org/en/digital-library/publications/2024/06/brief-un-women-submission-on-electoral-participation-and-sexual-orientation-and-gender-identity,United Nations Entity for Gender Equality and the Empowerment of Women (UN Women),"Citizen engagement|Electoral systems and processes|Fundamental freedoms|Gender equality and women’s empowerment|Governance and national planning|Human rights|Leadership and political participation|Lesbian, gay, bisexual, transgender, intersex (LGBT) rights|Political empowerment|Sexuality",,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/sites/default/files/2024-06/brief-un-women-submission-on-electoral-participation-and-sexual-orientation-and-gender-identity-en.pdf,en
Consolidated report: National fiscal stimulus packages from a gender equality perspective,"This publication was developed as part of the UN Women–ILO joint programme, “Promoting decent employment for women through inclusive growth policies and investments in the care economy”. It summarizes the key findings and lessons learned from applying the UN Women–ILO policy tool, “How to assess fiscal stimulus packages from a gender equality perspective”, in Argentina, Egypt, Ethiopia, Mali, Morocco, Mozambique, Nepal, Niger, Nigeria, Palestine, and Senegal.

The report provides recommendations for using fiscal policies to address gender inequalities and alleviate the effects of COVID-19 on women. It identifies five areas of interest to track in order to assess the gender responsiveness of the economic response and recovery efforts: livelihoods, social protection, health, food security, and public infrastructure and housing. The report also identifies commonalities, specificities, and lessons learned from the assessments of the national fiscal stimulus packages from a gender perspective.

The analysis highlights the importance of developing global policy tools and guidance to scale up UN Women’s work beyond the geographical boundaries of implemented programmes. The analysis shows great variation among countries in terms of the gender responsiveness of their economic responses and recovery efforts. However, a common theme among countries remains the lack of fiscal space, resulting in relatively weaker and inadequate fiscal and monetary responses to effectively address the issues.",report,,2024-06-17,,https://www.unwomen.org/en/digital-library/publications/2024/06/consolidated-report-national-fiscal-stimulus-packages-from-a-gender-equality-perspective,United Nations Entity for Gender Equality and the Empowerment of Women (UN Women),"Access to basic services|Africa|Arab States/North Africa|Argentina|Asia and the Pacific|COVID-19|Economic empowerment|Education|Egypt|Ethiopia|Gender statistics|Governance and national planning|Health|Latin America and the Caribbean|Macroeconomic policies|Mali|Morocco|Mozambique|Nepal|Niger|Nigeria|Palestine, State of|Poverty|Senegal",,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/sites/default/files/2024-06/consolidated-report-national-fiscal-stimulus-packages-from-a-gender-equality-perspective-en.pdf,en
Poster: Women political leaders 2024,"This poster presents global data on women in executive positions as Heads of State, Heads of Government, and Cabinet members heading Ministries. Data indicate that women are underrepresented at all levels of executive decision-making worldwide, and achieving gender parity in political life remains a distant goal.

As at 1 January 2024, only 27 countries are led by a woman, a modest increase from just 18 countries a decade ago. Women represent 23.3 per cent of Cabinet members heading Ministries in 2024—a less than 0.5 percentage point increase from 2023—and continue to primarily lead portfolios related to women and gender equality, family and children affairs, social affairs, and indigenous and minority affairs. Policy domains such as economic affairs, defence, justice, and home affairs, continue to be dominated by men.",report,,2024-06-23,,https://www.unwomen.org/en/digital-library/publications/2024/06/poster-women-political-leaders-2024,United Nations Entity for Gender Equality and the Empowerment of Women (UN Women),Decision-making|Gender statistics|Leadership and political participation|Political empowerment,,,59fa1358-402b-46be-874b-2d2686f41c22,,https://www.unwomen.org/sites/default/files/2024-06/Poster-Women-political-leaders-2024-en.pdf,en
