artifact__title,artifact__summary,artifact__type,artifact__date_published,artifact__date_published_year,artifact__date_circa,artifact__uri,artifact__publication_place,artifact__publisher,artifact__tags,collection__uuid,file__content_type,file__name,file__media_type,file__uuid,file__url,file__language,file__fulltext_s3_url,file__fulltext_paginated_s3_url,file__toc,file__viewer_settings,file__size,file__pages,file__key_terms,file__file_hash,artifact__people_author,atrifact__doi
"
          Compartmentalization and Ventilation System Impacts on Air and Contaminant Transport for Multifamily Buildings        ",,article,,2024,,https://eta-publications.lbl.gov/publications/compartmentalization-and-0,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/multifamily_compartmentalization_2024.pdf,,,,,,,,,,Iain S Walker|Brennan  Less|Cara  Lozinsky|David M Lorenzetti|Nuria  Casquero-Modrego|Michael D Sohn,https://dx.doi.org/10.1080/14733315.2024.2333669
"
          Community Solar for Opportunity States: An exploration of development models for community solar projects in states that lack explicit enabling policies        ",,brief,,2024,,https://eta-publications.lbl.gov/publications/community-solar-opportunity-states,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/opportunity_states_emp_tech-brief_06.26.2024_updated.pdf,,,,,,,,,,Anthony  Sandonato|Bentham  Paulos|Greg  Leventis,
"
          Commercial, industrial, and institutional discount rate estimation for efficiency standards analysis Sector-level data 1998–2023        ",,report,,2024,,https://eta-publications.lbl.gov/publications/commercial-industrial-and-3,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/commercial_industrial_discount_rates_2024_0506.pdf,,,,,,,,,,K. Sydny  Fujita|Jesse  Strecker,
"
          Grid Resilience Plans: State Requirements, Utility Practices, and Utility Plan Template        ",,report,,2024,,https://eta-publications.lbl.gov/publications/grid-resilience-plans-state,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/grid_resilience_plans_template_report_20240723.pdf,,,,,,,,,,Josh A Schellenberg|Lisa C Schwartz,
"
          Frontiers in Energy Storage: Next-Generation Artificial Intelligence (AI)        ",,report,,2024,,https://eta-publications.lbl.gov/publications/frontiers-energy-storage-next,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/frontiers_in_energy_storage_workshop_report_final_0.pdf,,,,,,,,,,Anubhav  Jain|Tianzhen  Hong|Mary Ann  Piette|Michael D Sohn|Will  Gorman|Alexandre  Moreira|Lazlo  Paul|Haitam  Laarabi|Maher  Alghalayini,
"
          Performance and usage of mechanical residential kitchen ventilation        ",,conference-paper,,2024,,https://eta-publications.lbl.gov/publications/performance-and-usage-mechanical,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/performance_and_usage.pdf,,,,,,,,,,Haoran  Zhao|Iain S Walker|William W Delp|Brett C Singer,
"
          The false dichotomies of plug-in electric vehicle markets        ","An archetypal electric vehicle (EV) driver has emerged in the public consciousness. This archetype can generally be characterized as a high-income, highly-educated, urban-dwelling, married, middle-aged white male who owns his home and values the latest technology and/or the environment. For those who see the widespread market for EVs as an important element of transportation decarbonization, this archetype has pluses and minuses. A plus is that if one follows the aphorism, “you can tell a lot about a person by the car they drive,” EVs are now widespread enough to have something to say about the identities of their drivers. Potential minuses include “false dichotomies” associated with the demographic characteristics of this archetype, with associated unintentional exclusionary effects for prospective EV drivers and unintended biases in analyzing latent EV demand. ",report,,2024,,https://eta-publications.lbl.gov/publications/false-dichotomies-plug-electric,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/false_dichotomies_of_pev_markets_march2024.pdf,,,,,,,,,,Margaret  Taylor|K. Sydny  Fujita|Nica  Campbell,
"
          Participant outcomes in residential Pay As You Save® programs        ",,report,,2024,,https://eta-publications.lbl.gov/publications/participant-outcomes-residential-pay,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/berkeley_lab_pays_final.pdf,,,,,,,,,,Jeff  Deason|Sean  Murphy|Greg  Leventis,
"
          One Year In: Tracking the Impacts of NEM 3.0 on California’s Residential Solar Market        ",,brief,,2024,,https://eta-publications.lbl.gov/publications/one-year-tracking-impacts-nem-30,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/ca_nem_3.0_technical_brief.pdf,,,,,,,,,,Galen L Barbose,
"
          A National Perspective on State Practices for Integrated Distribution System Planning        ",,presentation-lecture,,2024,,https://eta-publications.lbl.gov/publications/national-perspective-state-practices,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/frick_dsp_md_final.pdf,,,,,,,,,,Natalie Mims Frick|Lisa C Schwartz,
