artifact__title,artifact__summary,artifact__type,artifact__date_published,artifact__date_published_year,artifact__date_circa,artifact__uri,artifact__tags,artifact__people__author,artifact__people__editor,collection__uuid,file__url
Deadly Failures: Preventable Deaths in U.S. Immigration Detention,"Since January 1, 2017, Immigration and Customs Enforcement (ICE) has reported that 68 people have died in its custody. This number does not include detained people who ICE released immediately prior to their deaths, which ICE has admitted reduces the number of reported deaths, and allows the agency to avoid accountability requirements.[1] These deaths raise serious concern about continued, systemic problems with medical and mental health care provided in immigration detention facilities, and the absence of accountability or consequences faced by facilities where detained people have died. ICE currently detains, on average, approximately 38,000 people each day in a network of approximately 130 detention facilities nationwide. Congress, however, recently increased ICE’s budget to detain 41,500 people on a daily basis for FY 2024, at a cost of $3.4 billion.[2] This report, a joint project of the American Civil Liberties Union (ACLU), Physicians for Human Rights (PHR), and American Oversight, provides a comprehensive examination of the deaths of 52 people whom ICE reported to have died in its custody between January 1, 2017 and December 31, 2021. Our analysis is based on a review of over 14,500 pages of documents obtained from the Department of Homeland Security (DHS) and ICE through Freedom of Information Act (FOIA) requests; from local government agencies through state public record act requests; and from civil litigation. Report analysis also incorporates the review of ICE’s own investigatory reports into deaths in custody by independent medical experts, as well as interviews with two family members of people who died in ICE detention during the studied period. Deadly Failures exposes the ways in which the Department of Homeland Security’s (DHS) internal oversight mechanisms have failed to conduct rigorous investigations, impose meaningful consequences, or improve conditions that cause immigrants to die in ICE detention. Based on independent medical expert reviews of deaths, the report further examines the ways in which systemic failures in medical and mental health care in ICE detention have caused otherwise preventable deaths.",report,2024-06-25,,,https://phr.org/our-work/resources/deadly-failures-preventable-deaths-in-u-s-immigration-detention/,Asylum|United States,Tessa Wilson,,b693cdac-b16e-4685-8b4c-4f5e6d1d58d8,https://phr.org/wp-content/uploads/2024/06/REPORT-ICE-Deadly-Failures-ACLU-PHR-AO-2024.pdf
Unleashed Brutality: An Expert Medical Opinion on the Health Harms from California Police Attack Dogs,,other,2024-01-10,,,https://phr.org/our-work/resources/unleashed-brutality-expert-medical-opinion-california-police-attack-dogs/,Excessive Force|United States,"Altaf Saadi, MD|Michele Heisler, MD, MPA",,b693cdac-b16e-4685-8b4c-4f5e6d1d58d8,https://phr.org/wp-content/uploads/2024/01/PHR-Expert-Opinion-Police-Canine-Medical-Harms-January-2024.pdf
PHR to President Erdoğan: End Harassment of Turkish Physician Ayşe Uğurlu,,correspondence,2023-09-19,,,https://phr.org/our-work/resources/phr-to-president-erdogan-end-harassment-of-turkish-physician-ayse-ugurlu/,Persecution of Health Workers,,,b693cdac-b16e-4685-8b4c-4f5e6d1d58d8,https://phr.org/wp-content/uploads/2023/09/Letter_President-Ergodan_18-Sept-2023.pdf
Letter: 475 Medical Professionals Demand an End to Solitary Confinement in U.S. Immigration Detention ,,correspondence,2024-05-31,,,https://phr.org/our-work/resources/letter-medical-professionals-demand-an-end-to-solitary-confinement-in-u-s-immigration-detention/,Asylum|United States,,,b693cdac-b16e-4685-8b4c-4f5e6d1d58d8,https://phr.org/wp-content/uploads/2024/05/2024-PHR-Health-Professional-Letter-ICE-Solitary-Confinement.pdf
Coercion and Control: Ukraine’s Health Care System under Russian Occupation,"This case study expands on existing documentation of Russia’s widespread and systematic attacks on Ukraine’s health care system. It explores ways in which Russia has sought to systematically target health care as an apparent means of degrading resistance and, in Ukraine’s occupied territories, as a means of enforcing control over the civilian population, including by limiting and conditioning access to health care through a range of coercive practices. These practices include: (1) Russian forces misusing civilian health facilities for nonmedical purposes; (2) requiring forced changes of nationality as a precondition for gaining access to health care (otherwise known as “passportization”); and (3) threatening and harassing health care professionals as a way to further limit care and assert control over Ukraine’s health care system. Based on a joint dataset, the study details a range of reported incidents that collectively suggest an apparent pattern of illegal attacks on health by Russia that both limit and violate the right to health of Ukrainian civilians. These attacks are violations of both international humanitarian law (IHL) and international human rights law. They also threaten the integrity of Ukraine’s health care system, which, while resilient, faces ongoing challenges following Russia’s full-scale invasion in February 2022. The destructive impact of a compromised health care system threatens to impose long-lasting and severe hardship on Ukraine’s people. Russia must end its war of aggression and return the administration of Ukraine’s health care system in the occupied territories back to the Ukrainian government. At the same time, there remains a pressing need to ensure accountability for violations of IHL with respect to health care, for which there has been almost complete impunity in both Ukraine and globally. All investigative and prosecutorial bodies with relevant jurisdiction – including the International Criminal Court’s Office of the Prosecutor, the Prosecutor General of Ukraine, the UN’s Independent International Commission of Inquiry on Ukraine, and other national prosecutors – must prioritize the investigation of attacks on health care as both war crimes and crimes against humanity, including the range of violations discussed herein.",case-study,2023-12-12,,,https://phr.org/our-work/resources/coercion-and-control-ukraines-health-care-system-under-russian-occupation/,Attacks on Health Care|Ukraine,,,b693cdac-b16e-4685-8b4c-4f5e6d1d58d8,https://phr.org/wp-content/uploads/2023/12/PHR-Report-Ukraine-Coercion-and-Control-December-2023.pdf
“Endless Nightmare”: Torture and Inhuman Treatment in Solitary Confinement in U.S. Immigration Detention,"The United States maintains the world’s largest immigration detention system, detaining tens of thousands of people in a network of facilities, including those managed by private prison corporations, county jails, U.S. Immigration and Customs Enforcement (ICE), U.S. Customs and Border Protection (CBP), and the Office of Refugee Resettlement (ORR). At the time of writing, ICE is detaining over 35,000 people, including long-term residents of the United States, people seeking asylum, and survivors of trafficking or torture. Instead of finding refuge, these people are held in ICE custody for extended periods, enduring inhuman conditions such as solitary confinement (dubbed “segregation” by ICE), where they are isolated in small cells with minimal contact with others for days, weeks, or even years. In many instances, such conditions would meet the definition of torture, or cruel, inhuman, or degrading treatment under international human rights law. Solitary confinement causes a range of adverse health effects, including post-traumatic stress disorder (PTSD), self-harm, and suicide risks. Prolonged confinement can lead to lasting brain damage, hallucinations, confusion, disrupted sleep, and reduced cognitive function. These effects persist beyond the confinement period, often resulting in enduring psychological and physical disabilities, especially for people with preexisting medical and mental health conditions or other vulnerabilities. In recognition of this well-documented harm, ICE issued a directive in 2013 to limit the use of solitary confinement in its facilities, especially for people with vulnerabilities. A 2015 memorandum further protected transgender people, emphasizing solitary confinement as a last resort. In 2022, ICE reinforced reporting requirements for people with mental health conditions in solitary confinement, highlighting the need for strict oversight. Despite these directives, however, government audits and whistleblowers alike have repeatedly revealed stark failures in oversight. This report – a joint effort by Physicians for Human Rights (PHR), Harvard Law School’s Immigration and Refugee Clinical Program (HIRCP), and researchers at Harvard Medical School (HMS) – provides a detailed overview of how solitary confinement is being used by ICE across detention facilities in the United States, and its failure to adhere to its own policies, guidance, and directives. It is based on a comprehensive examination of data gathered from ICE and other agencies, including through Freedom of Information Act (FOIA) requests, first filed in 2017, and partly acquired after subsequent litigation. It is further enriched by interviews with 26 people who were formerly held in immigration facilities and experienced solitary confinement over the last 10 years. The study reveals that immigration detention facilities fail to comply with ICE guidelines and directives regarding solitary confinement. Despite significant documented issues, including whistleblower alarms and supposed monitoring and oversight measures, there has been negligible progress. The report highlights a significant discrepancy between the 2020 campaign promise of U.S. President Joseph Biden to end solitary confinement and the ongoing practices observed in ICE detention. Over the last decade, the use of solitary confinement has persisted, and worse, the recent trend under the current administration reflects an increase in frequency and duration. Data from solitary confinement use in 2023 – though likely an underestimation as this report explains – demonstrates a marked increase in the instances of solitary confinement. This report exposes a continuing trend of ICE using solitary confinement for punitive purposes rather than as a last resort – in violation of its own directives. Many of the people interviewed were placed in solitary confinement for minor disciplinary infractions or as a form of retaliation for participating in hunger strikes or for submitting complaints. Many reported inadequate access to medical care, including mental health care, during their solitary confinement, which they said led to the exacerbation of existing conditions or the development of new ones, including symptoms consistent with depression, anxiety, and PTSD. The conditions in solitary confinement were described as dehumanizing, with people experiencing harsh living conditions, limited access to communication and recreation, and verbal abuse or harassment from facility staff. Analysis of FOIA data revealed persistent and prolonged use of solitary confinement and demonstrated significant inadequacies of current oversight and accountability mechanisms. In the last five years alone, ICE has placed people in solitary confinement over 14,000 times, with an average duration of 27 days, well exceeding the 15-day threshold that United Nations (UN) human rights experts have found constitutes torture. Many of the longest solitary confinement placements involved people with mental health conditions, indicating a failure to provide appropriate care for vulnerable populations more broadly. Some solitary confinement placements lasted significantly longer, with 682 lasting at least 90 days and 42 lasting over one year. Many of these instances involved people with mental health conditions and other vulnerabilities, including 10 of those 42 placements lasting over a year in solitary confinement. Data provided by ICE also demonstrated a disproportionately harmful impact on people with vulnerabilities, particularly transgender people and those with mental health and medical conditions. The treatment of people in immigration detention facilities and the excessive, punitive use of solitary confinement is not only contrary to ICE’s own policies and guidance but also violates U.S. constitutional law and international human rights law. The Fifth Amendment prohibits the deprivation of life, liberty, or property without due process of law, protection that extends to all persons within the United States, including people in immigration detention. The government has a duty to ensure the health and safety of people in immigration detention facilities, providing for their basic needs such as food and medical care. Persons in detention also have First Amendment rights, including the freedom to protest conditions or report issues without fear of retaliation. International human rights law has also made clear that the detention of immigrants, especially in solitary confinement, should be a last resort, for the shortest time possible, and used only for limited purposes. The United States has signed and ratified the International Covenant on Civil and Political Rights (ICCPR), which prohibits arbitrary and unlawful detention. The use of prolonged solitary confinement, especially for people with mental health conditions, is prohibited under the UN Standard Minimum Rules for the Treatment of Prisoners (the Nelson Mandela Rules). The United States has also signed and ratified the UN Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment. The UN Special Rapporteur on Torture has highlighted the severe psychological and physical harm caused by prolonged solitary confinement, especially for people with mental health conditions. ICE’s failure to adhere to domestic and international law and its own guidelines has created dangerous conditions in detention centers, particularly for people with mental and medical health conditions or other vulnerabilities. The persistent use of solitary confinement over the last decade underscores the need for radical changes in ICE policy and practice. The evidence of profound physical and mental health deterioration caused by solitary confinement, in combination with ICE’s inability to implement policies around its use that adhere to its own guidelines as well as constitutional and international law, necessitates an immediate commitment by ICE to end the practice entirely. Prior to publication, the authors of this report had the opportunity to present the findings to key personnel in DHS and ICE. The report makes the following recommendations to the Secretary of the U.S. Department of Homeland Security (DHS) and to the Director of ICE, which serve as a road map to completely phase out the use of solitary confinement in immigration detention.  The plan must be presented to Congress and publicly accessible on ICE’s website upon completion, which shall be no later than one year after formation of the task force. Finally, recommendations included in the plan should ensure the end of ICE’s use of solitary confinement in immigration detention within one year of presentation of the plan to Congress and the public.",report,2024-02-06,,,https://phr.org/our-work/resources/endless-nightmare-solitary-confinement-in-us-immigration-detention/,Asylum|United States,Tessa Wilson,,b693cdac-b16e-4685-8b4c-4f5e6d1d58d8,https://phr.org/wp-content/uploads/2024/02/PHR-REPORT-ICE-Solitary-Confinement-2024.pdf
Expert Report: Russia’s Attacks on Health Care in Syria,,report,2024-05-02,,,https://phr.org/our-work/resources/russias-attacks-on-health-care-in-syria/,Attacks on Health Care|Syria,,,b693cdac-b16e-4685-8b4c-4f5e6d1d58d8,https://phr.org/wp-content/uploads/2024/05/PHR-Syria-Expert-Report-HRC-May-2024-EN.pdf
Criminalized Care: How Louisiana’s Abortion Bans Endanger Patients and Clinicians,,report,2024-03-19,,,https://phr.org/our-work/resources/louisiana-abortion-bans/,Reproductive Justice|United States,"Michele Heisler, MD, MPA|Payal Shah, JD",,b693cdac-b16e-4685-8b4c-4f5e6d1d58d8,https://phr.org/wp-content/uploads/2024/03/PHR-Report-Criminalized-Care-March-2024.pdf
"What Constitutes a High-Quality, Comprehensive Medico-Legal Affidavit in the United States Immigration Context?",,factsheet,2023-06-09,,,https://phr.org/our-work/resources/what-constitutes-a-high-quality-comprehensive-medico-legal-affidavit-in-the-united-states-immigration-context/,Asylum|United States,,,b693cdac-b16e-4685-8b4c-4f5e6d1d58d8,https://phr.org/wp-content/uploads/2023/06/PHR-Fact-Sheet-Medico-Legal-Affadavit-Immigration-June-2023.pdf
"Evidence for Impact, Advocacy for Justice",,report,,,,https://phr.org/our-work/resources/annual-report-2023/,,,,b693cdac-b16e-4685-8b4c-4f5e6d1d58d8,https://phr.org/wp-content/uploads/2024/04/PHR-Annual-Report-2023.pdf
